loan_purpose,total_loan_application,total_funded_amount,total_amount_received
Debt consolidation,18214,232459675,253801871
credit card,4998,58885175,65214084
home improvement,2876,33350775,36380930
other,3824,31155750,33289676
small business,1776,24123100,23814817
major purchase,2110,17251600,18676927
car,1497,10223575,11324914
wedding,928,9225800,10266856
medical,667,5533225,5851372
house,366,4824925,5185538
moving,559,3748125,3999899
educational,315,2161650,2248380
vacation,352,1967950,2116738
renewable_energy,94,845750,898931
