state,total_loan_application,total_funded_amount,total_amount_received
CA,6894,78484125,83901234
NY,3701,42077050,46108181
TX,2664,31236650,34392715
FL,2773,30046125,31601905
NJ,1822,21657475,23425159
IL,1486,17124225,18875941
VA,1375,15982650,17711443
PA,1482,15826525,17462908
GA,1355,15480325,16728040
MA,1310,15051000,16676279
OH,1188,12991375,14330148
MD,1027,11911400,12985170
AZ,833,9206000,10041986
CO,770,8976000,9845810
WA,805,8855525,9531739
NC,759,8787575,9534813
CT,730,8435575,9357612
MI,685,7829900,8543660
MO,660,7151175,7692732
MN,592,6302600,6750746
NV,482,5307375,5451443
SC,464,5080475,5462458
WI,446,5070450,5485161
AL,432,4949225,5492272
OR,436,4720150,4966903
LA,426,4498900,5001160
KY,320,3504100,3792530
OK,293,3365725,3712649
KS,260,2872325,3247394
UT,252,2849225,2952412
DC,214,2652350,2921854
AR,236,2529700,2777875
NH,161,1917900,2101386
NM,183,1916775,2084485
RI,196,1883025,2001774
HI,170,1850525,2080184
WV,167,1830525,1991936
DE,110,1138100,1269136
AK,78,1031800,1108570
WY,79,890750,1046050
MT,79,829525,892047
SD,63,606150,656514
VT,54,504100,534973
TN,17,162175,141522
MS,19,139125,149342
IN,9,86225,85521
ID,6,59750,65329
IA,5,56450,64482
NE,5,31700,24542
ME,3,9200,10808
